id,name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,coordinates
27632697,Leo e Patty Appartamento A Bologna09,Navile,Entire home/apt,75,3,20,20/10/2018,0.58,163,"44.51174,11.35646"
27690508,La casa della stazione Bologna,Porto - Saragozza,Private room,40,1,45,05/01/2020,1.28,17,"44.50685,11.33221"
27708812,Casa Munay un soffio d'oriente S.Orsola,San Donato - San Vitale,Hotel room,32,1,1,13/04/2019,0.04,0,"44.49234,11.36687"
27710449,BOTANIC,Santo Stefano,Entire home/apt,67,2,30,04/04/2019,0.89,0,"44.49806,11.34994"
27737093,Victorian Station Guest House,Porto - Saragozza,Entire home/apt,100,2,20,21/07/2019,0.59,0,"44.50415,11.34105"
27739614,CLASSIC,Santo Stefano,Entire home/apt,70,29,20,26/10/2018,0.6,15,"44.49776,11.34619"
27807949,Bologna Home & Life,Borgo Panigale - Reno,Entire home/apt,94,1,7,29/06/2019,0.24,0,"44.49427,11.29392"
27827944,"Leprosetti apartment, nel cuore del centro storico",Santo Stefano,Entire home/apt,59,4,18,27/11/2019,0.52,30,"44.49287,11.35047"
27853702,Camera matrimoniale con vista in centro storico,Santo Stefano,Private room,52,1,41,21/05/2019,1.18,39,"44.49926,11.3484"
27874809,"TRILOCALE SILENZIOSO, COMODO E INDIPENDENTE",San Donato - San Vitale,Entire home/apt,129,1,8,29/12/2019,0.36,42,"44.50502,11.37323"
27914694,Altabella Panoramic Tower,Santo Stefano,Entire home/apt,125,2,17,17/03/2019,0.58,25,"44.49612,11.3448"
27950985,Casa isabella,Porto - Saragozza,Entire home/apt,150,1,1,05/03/2019,0.03,180,"44.4944,11.31606"
27950997,Cozy Double Br in gracious apt. Great Location!,Porto - Saragozza,Private room,45,2,44,25/09/2019,1.27,0,"44.49497,11.32109"
27977068,San Petronio Studio! Prime Location!BOOK NOW,Santo Stefano,Entire home/apt,79,2,26,03/02/2021,0.82,55,"44.49411,11.34485"
28017663,Executive apartment Fair/Centre.,Navile,Entire home/apt,52,1,141,06/12/2019,4.06,0,"44.51405,11.35274"
28023199,Camera matrimoniale con bagno privato e uso cucina,San Donato - San Vitale,Private room,40,4,9,15/10/2019,0.49,99,"44.49746,11.36183"
28195874,Appartamento Marco's Suite,Porto - Saragozza,Entire home/apt,70,2,6,13/01/2019,0.18,34,"44.49017,11.32123"
28197002,Monolocale suggestivo curato centrale e silenzioso,Santo Stefano,Entire home/apt,67,1,0,,,364,"44.48758,11.33141"
28299466,Residence Central Bo Studio Apartment,Porto - Saragozza,Entire home/apt,872,1,261,17/11/2019,7.65,0,"44.50444,11.3384"
28310490,Casa Marco Polo,Navile,Entire home/apt,70,1,17,09/03/2020,0.5,309,"44.51594,11.32738"
28381462,Appartamento Murri Bologna,Santo Stefano,Private room,25,2,2,04/07/2021,1.4,179,"44.47402,11.37393"
28490647,Open-space design apartment,Navile,Entire home/apt,350,15,83,27/02/2020,2.54,365,"44.50899,11.34559"
28511884,My Home in Bologna - La Grassa,Porto - Saragozza,Entire home/apt,65,1,294,22/04/2021,8.69,139,"44.49631,11.337"
28529867,Biasanòt Gallery House in the centre of the city,Porto - Saragozza,Entire home/apt,217,4,1,17/03/2019,0.04,365,"44.50285,11.33829"
28537835,M2 BO     Dossetti 27 - Fiera,Navile,Entire home/apt,55,1,28,04/10/2020,0.99,223,"44.51188,11.35526"
28575231,Max's place,Navile,Entire home/apt,54,1,7,23/09/2019,0.21,162,"44.52027,11.33305"
28578133,"Close to Fair, Station and the Old Town Centre",Navile,Private room,33,2,21,12/10/2019,0.62,0,"44.51185,11.34916"
28621600,"Bilocale vicino a Fiera, Stazione e Centro",Navile,Entire home/apt,65,1,4,09/11/2018,0.12,0,"44.51466,11.35179"
28660507,Casa Santo Stefano - centro storico -Bologna,Santo Stefano,Entire home/apt,88,2,61,11/12/2019,2.16,7,"44.48691,11.35237"
28733921,Calari 2° - studio in the historical centre,Porto - Saragozza,Entire home/apt,800,1,10,08/10/2019,0.42,160,"44.49709,11.32812"
28751687,"Elegante Open Space,10 min.dal centro,totale relax",Porto - Saragozza,Entire home/apt,89,2,1,25/11/2018,0.03,89,"44.46655,11.29871"
28776088,Home D,Santo Stefano,Entire home/apt,58,2,132,15/01/2020,3.94,140,"44.49832,11.34477"
28805148,Double room in an amazing penthouse downtown,Porto - Saragozza,Private room,50,2,0,,,0,"44.4981,11.33839"
28821172,"Casa La Quercia
/con posto auto/",Santo Stefano,Entire home/apt,80,15,16,07/10/2020,0.49,16,"44.48118,11.34737"
28836457,NEW FLAT 200 m FROM THE FAIR ENTRANCE !,San Donato - San Vitale,Entire home/apt,60,2,13,25/05/2019,0.4,353,"44.51762,11.381"
28880644,Confortevole Stanza privata in Centro,Porto - Saragozza,Private room,29,1,50,12/01/2021,1.49,262,"44.49876,11.33583"
28881845,casafilippo,Porto - Saragozza,Entire home/apt,39,2,53,13/05/2019,1.58,320,"44.49,11.32809"
28886775,Avesella 16 apartment,Porto - Saragozza,Entire home/apt,83,1,135,24/10/2019,4.06,115,"44.5,11.3417"
28909568,Residenza Granduca.,Porto - Saragozza,Entire home/apt,95,1,49,13/11/2019,1.72,207,"44.49237,11.33788"
28961575,"Fair&Fun Fiera District Free Wi-fi, idromassaggio",Navile,Entire home/apt,250,3,69,10/02/2020,2.05,0,"44.51252,11.35535"
29094990,New Amazing Home in Exclusive Bologna’s Zone,Santo Stefano,Entire home/apt,60,1,29,18/10/2020,0.89,0,"44.47902,11.33656"
29123922,"Giant’s place, studio flat near P.Maggiore",Santo Stefano,Entire home/apt,41,2,100,16/01/2020,2.99,28,"44.49753,11.344"
29150202,Bologna Porta Lame - convenient and central,Porto - Saragozza,Entire home/apt,38,1,80,23/10/2020,2.61,1,"44.50312,11.33195"
29157051,DREAM HOUSE,Savena,Entire home/apt,47,2,191,16/10/2019,5.91,189,"44.47848,11.37887"
29185533,bebaldodente,Navile,Entire home/apt,50,1,15,25/09/2019,0.53,360,"44.51134,11.34714"
29199715,Little Yellow House,Porto - Saragozza,Entire home/apt,42,1,148,05/11/2019,4.59,63,"44.49551,11.32192"
29208870,Casa Miranda,Porto - Saragozza,Entire home/apt,30,3,77,23/08/2019,2.39,0,"44.5004,11.32349"
29212382,Fienile FICO fiera,San Donato - San Vitale,Entire home/apt,65,3,15,02/12/2019,0.46,2,"44.52154,11.40321"
29277978,Two steps away ..,Santo Stefano,Entire home/apt,45,2,10,13/05/2019,0.31,11,"44.4805,11.33718"
29295639,Incamminati - Central Loft  Cozy and Design,Santo Stefano,Entire home/apt,90,2,25,09/12/2019,0.76,246,"44.49842,11.35167"
29320745,LOFT - Don Minzoni,Porto - Saragozza,Entire home/apt,44,2,69,07/11/2019,2.14,0,"44.50249,11.33922"
29330758,"Doppio monolocale aereoporto,O.maggiore,centro",Borgo Panigale - Reno,Private room,120,1,0,,,364,"44.52219,11.29319"
29409805,Mini appartamento,Porto - Saragozza,Entire home/apt,55,1,12,13/10/2019,0.42,284,"44.50399,11.30873"
29432522,"Bologna, ampia stanza privata in pieno centro",Santo Stefano,Private room,29,1,2,12/11/2018,0.06,0,"44.50117,11.35224"
29469932,"Delizioso, centro storico, giardino e posto auto",Santo Stefano,Entire home/apt,95,3,54,24/02/2020,1.67,105,"44.50204,11.35152"
29471662,AMPIO LUMINOSO,Porto - Saragozza,Entire home/apt,65,5,1,29/10/2018,0.03,364,"44.50011,11.33274"
29485861,Casa Vannina,Santo Stefano,Entire home/apt,77,1,46,02/08/2019,1.4,229,"44.48819,11.34081"
29587536,Apartment in the heart of historical Bologna,Porto - Saragozza,Entire home/apt,106,7,22,14/08/2019,0.67,364,"44.49734,11.33286"
29626909,Tortellini with a view...,Santo Stefano,Entire home/apt,70,1,16,29/09/2019,0.5,355,"44.49531,11.35296"
29641240,Appartamento Bologna Mazzini Fiera Sant'Orsola,Santo Stefano,Entire home/apt,35,2,46,16/06/2019,1.58,187,"44.48503,11.36716"
29704483,Marconi 47 Suite,Porto - Saragozza,Entire home/apt,70,1,19,28/11/2019,0.74,0,"44.49962,11.339"
29724736,Casa Già Già,Santo Stefano,Entire home/apt,60,2,16,29/05/2019,0.54,365,"44.48475,11.34839"
29735816,Beatrice-Fabulous and Cozy Flat- ValBea Apartments,Porto - Saragozza,Entire home/apt,75,3,91,22/02/2020,2.97,299,"44.49986,11.33869"
29737303,"Laurie Room: moderna, elegante,  in centro storico",Porto - Saragozza,Private room,60,3,14,05/07/2021,0.44,40,"44.50079,11.34253"
29751210,BOflat: Lovely flat with private courtyard,Porto - Saragozza,Entire home/apt,50,2,37,14/04/2019,1.26,70,"44.50248,11.31105"
29890950,"Le Porte,  ELEGANT AND NEW apartment towers view",Santo Stefano,Entire home/apt,173,3,1,14/09/2019,0.04,126,"44.49475,11.34644"
29898632,Luxury basement Loft in the historic center,Porto - Saragozza,Entire home/apt,56,2,63,18/02/2020,2.01,192,"44.49714,11.33359"
29918464,"Le Porte, Luxury and elegant facing Bologna towers",Santo Stefano,Entire home/apt,153,3,0,,,98,"44.49475,11.34644"
